PICKUP_LOCATION_ID,DROPOFF_LOCATION_ID,PAYMENT_TYPE_ID,PICKUP_DATE,PICKUP_HOUR,DROPOFF_DATE,DROPOFF_HOUR,PICKUP_BOROUGH,PICKUP_ZONE,DROPOFF_BOROUGH,DROPOFF_ZONE,PAYMENT_TYPE_NAME,PASSENGER_COUNT,TRIP_DISTANCE,DURATION_MINUTES,FARE_AMOUNT,TIP_AMOUNT,TOLLS_AMOUNT,TOTAL_AMOUNT
236,237,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Upper East Side South,Credit card,1,0.76,4,7.2,2.24,0,13.44
161,237,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown Center,Manhattan,Upper East Side South,Credit card,1,1.4,14,14.2,3.64,0,21.84
132,140,1,2024-04-26,13,2024-04-26,14,Queens,JFK Airport,Manhattan,Lenox Hill East,Credit card,1,19,62,70,16.55,6.94,99.24
138,48,1,2024-04-26,13,2024-04-26,14,Queens,LaGuardia Airport,Manhattan,Clinton East,Credit card,1,8.7,38,40.1,14.45,6.94,72.24
164,239,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown South,Manhattan,Upper West Side South,Credit card,1,2.6,22,17.7,3.25,0,24.95
138,236,1,2024-04-26,13,2024-04-26,13,Queens,LaGuardia Airport,Manhattan,Upper East Side North,Credit card,1,8.2,23,35.2,10.55,6.94,63.44
236,161,1,2024-04-26,13,2024-04-26,14,Manhattan,Upper East Side North,Manhattan,Midtown Center,Credit card,1,1.7,11,12.8,4.2,0,21
138,97,1,2024-04-26,13,2024-04-26,13,Queens,LaGuardia Airport,Brooklyn,Fort Greene,Credit card,1,9.75,37,47.1,11.07,0,66.42
158,163,1,2024-04-26,13,2024-04-26,13,Manhattan,Meatpacking/West Village West,Manhattan,Midtown North,Credit card,2,3.3,32,27.5,5,0,36.5
237,236,2,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side South,Manhattan,Upper East Side North,Cash,1,0.88,7,7.9,0,0,11.9
75,239,1,2024-04-26,13,2024-04-26,13,Manhattan,East Harlem South,Manhattan,Upper West Side South,Credit card,1,2.14,15,16.3,4.06,0,24.36
142,48,1,2024-04-26,13,2024-04-26,13,Manhattan,Lincoln Square East,Manhattan,Clinton East,Credit card,1,0.91,6,7.9,2.38,0,14.28
163,43,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown North,Manhattan,Central Park,Credit card,1,2.36,14,15.6,4.4,0,24
43,140,1,2024-04-26,13,2024-04-26,13,Manhattan,Central Park,Manhattan,Lenox Hill East,Credit card,1,2.44,15,15.6,3.92,0,23.52
137,79,1,2024-04-26,13,2024-04-26,13,Manhattan,Kips Bay,Manhattan,East Village,Credit card,1,1.19,5,7.9,1.78,0,13.68
229,162,1,2024-04-26,13,2024-04-26,13,Manhattan,Sutton Place/Turtle Bay North,Manhattan,Midtown East,Credit card,1,0.4,5,6.5,2.1,0,12.6
237,236,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side South,Manhattan,Upper East Side North,Credit card,1,0.9,6,7.9,3.55,0,15.45
236,237,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Upper East Side South,Credit card,1,0.5,3,5.8,1.95,0,11.75
161,237,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown Center,Manhattan,Upper East Side South,Credit card,1,0.5,6,6.5,2,0,12.5
138,50,1,2024-04-26,13,2024-04-26,14,Queens,LaGuardia Airport,Manhattan,Clinton West,Credit card,1,12.14,46,56.2,5,6.94,78.89
141,163,1,2024-04-26,13,2024-04-26,13,Manhattan,Lenox Hill West,Manhattan,Midtown North,Credit card,1,1.2,10,10.7,2.9,0,17.6
163,143,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown North,Manhattan,Lincoln Square West,Credit card,1,1.2,9,10,2.8,0,16.8
132,33,1,2024-04-26,13,2024-04-26,14,Queens,JFK Airport,Brooklyn,Brooklyn Heights,Credit card,1,18.04,67,80.7,10,0,93.95
237,162,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side South,Manhattan,Midtown East,Credit card,1,1.05,15,13.5,3.5,0,21
162,234,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown East,Manhattan,Union Sq,Credit card,3,1.33,9,10,2.8,0,16.8
237,161,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side South,Manhattan,Midtown Center,Credit card,1,1.81,14,14.2,3.64,0,21.84
68,162,1,2024-04-26,13,2024-04-26,13,Manhattan,East Chelsea,Manhattan,Midtown East,Credit card,1,2.6,26,22.6,5.3,0,31.9
162,114,2,2024-04-26,13,2024-04-26,14,Manhattan,Midtown East,Manhattan,Greenwich Village South,Cash,1,2.1,13,14.2,0,0,18.2
43,33,1,2024-04-26,13,2024-04-26,13,Manhattan,Central Park,Brooklyn,Brooklyn Heights,Credit card,1,7.74,42,42.9,14.07,0,60.97
164,132,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown South,Queens,JFK Airport,Credit card,1,17.24,67,70,12.14,6.94,93.08
79,107,2,2024-04-26,13,2024-04-26,13,Manhattan,East Village,Manhattan,Gramercy,Cash,1,0.77,10,10,0,0,14
211,264,1,2024-04-26,13,2024-04-26,13,Manhattan,SoHo,Unknown,N/A,Credit card,1,1.8,19,17.7,5.7,6.94,34.34
249,264,1,2024-04-26,13,2024-04-26,14,Manhattan,West Village,Unknown,N/A,Credit card,1,1.8,20,18.4,4.45,0,26.85
246,239,2,2024-04-26,13,2024-04-26,13,Manhattan,West Chelsea/Hudson Yards,Manhattan,Upper West Side South,Cash,3,2.95,28,26.1,0,0,30.1
239,41,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper West Side South,Manhattan,Central Harlem,Credit card,1,2.57,16,16.3,4.06,0,24.36
140,138,1,2024-04-26,13,2024-04-26,14,Manhattan,Lenox Hill East,Queens,LaGuardia Airport,Credit card,1,9.49,27,42.9,11.77,6.94,70.61
132,90,1,2024-04-26,13,2024-04-26,15,Queens,JFK Airport,Manhattan,Flatiron,Credit card,2,17.68,61,70,0,6.94,82.69
161,161,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown Center,Manhattan,Midtown Center,Credit card,2,0.5,5,5.8,0,0,9.8
161,113,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown Center,Manhattan,Greenwich Village North,Credit card,2,1.6,12,12.1,2.5,0,18.6
75,75,2,2024-04-26,13,2024-04-26,13,Manhattan,East Harlem South,Manhattan,East Harlem South,Cash,1,0.8,6,7.2,0,0,8.7
236,263,2,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Yorkville West,Cash,1,0.55,3,5.8,0,0,9.8
236,237,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Upper East Side South,Credit card,2,0.68,4,6.5,1,0,11.5
237,163,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side South,Manhattan,Midtown North,Credit card,1,1.14,8,9.3,2.66,0,15.96
163,1,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown North,EWR,Newark Airport,Credit card,1,17.97,46,95.1,12,17.03,125.13
100,230,2,2024-04-26,13,2024-04-26,13,Manhattan,Garment District,Manhattan,Times Sq/Theatre District,Cash,1,1.13,19,17,0,0,21
68,239,1,2024-04-26,13,2024-04-26,14,Manhattan,East Chelsea,Manhattan,Upper West Side South,Credit card,1,3.09,19,20.5,4.9,0,29.4
237,263,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side South,Manhattan,Yorkville West,Credit card,1,0.93,7,8.6,2,0,14.6
263,262,2,2024-04-26,13,2024-04-26,13,Manhattan,Yorkville West,Manhattan,Yorkville East,Cash,1,0.48,3,5.1,0,0,9.1
141,140,1,2024-04-26,13,2024-04-26,13,Manhattan,Lenox Hill West,Manhattan,Lenox Hill East,Credit card,1,0.51,6,6.5,2.1,0,12.6
263,140,1,2024-04-26,13,2024-04-26,13,Manhattan,Yorkville West,Manhattan,Lenox Hill East,Credit card,1,0.66,4,5.8,1.96,0,11.76
141,237,1,2024-04-26,13,2024-04-26,13,Manhattan,Lenox Hill West,Manhattan,Upper East Side South,Credit card,1,0.26,1,3.7,1.5,0,9.2
239,166,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper West Side South,Manhattan,Morningside Heights,Credit card,1,2.63,14,16.3,4.06,0,24.36
166,161,1,2024-04-26,13,2024-04-26,13,Manhattan,Morningside Heights,Manhattan,Midtown Center,Credit card,1,5.91,18,27.5,9.45,0,40.95
161,234,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown Center,Manhattan,Union Sq,Credit card,1,1.38,9,10.7,2.94,0,17.64
234,170,1,2024-04-26,13,2024-04-26,13,Manhattan,Union Sq,Manhattan,Murray Hill,Credit card,1,1.31,21,18.4,4.48,0,26.88
161,238,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown Center,Manhattan,Upper West Side North,Credit card,1,2,14,12.8,2.5,0,19.3
239,68,1,2024-04-26,13,2024-04-26,14,Manhattan,Upper West Side South,Manhattan,East Chelsea,Credit card,4,2.6,26,20.5,10,0,34.5
88,141,1,2024-04-26,13,2024-04-26,13,Manhattan,Financial District South,Manhattan,Lenox Hill West,Credit card,1,6.43,25,30.3,8.57,0,42.87
138,3,1,2024-04-26,13,2024-04-26,13,Queens,LaGuardia Airport,Bronx,Allerton/Pelham Gardens,Credit card,2,11.16,20,42.9,16.9,6.94,74.99
236,236,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Upper East Side North,Credit card,1,0.4,4,5.1,1.36,0,10.46
236,162,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Midtown East,Credit card,2,1.7,16,14.2,3.64,0,21.84
